FIPS,AVG Jan,AVG Feb,AVG Mar,AVG Apr,AVG May,AVG June,AVG July,AVG August,AVG September,AVG October,AVG November,AVG December
48363,45.56,48.22,58.3,64.02,72.8,81.18,85.51,84.92,78.52,66.7,55.74,49.48
48365,47.97,51.26,59.76,64.7,73.03,80.4,83.73,83.36,78,67.22,56.56,51.83
48367,45.91,48.54,58.32,64.04,72.41,80.99,85.21,84.66,78.42,66.79,55.8,49.73
48369,37.8,41.08,50.08,56.37,65.89,75.91,79.46,77.14,71.46,58.52,47.66,40.54
48371,46.67,50.89,59.52,66.16,74.78,81.5,83.72,82.51,76.8,66.88,55.92,50.18
48373,50.63,54.39,62.51,66.92,74.71,81.2,84.09,83.89,79.08,69.32,59.36,54.26
48375,38.66,40.57,50.8,57.39,66.64,77.16,81.36,79.02,73.4,59.81,48.58,40.93
48377,47.8,52.4,59.49,66.28,74.26,81.26,82.1,80.48,75.83,66.94,56.42,50.37
48379,46.43,48.73,58.93,63.43,71.96,80.12,84.08,84.03,78.14,66.76,55.86,50.28
48381,38.26,40.63,50.36,56.7,66.17,76.39,80.44,78.27,72.37,59.16,48.2,40.99
48383,45.6,49.18,59.13,65.92,74.09,81.22,84.16,83.24,76.89,66.61,55.34,49.07
48385,49.29,53.03,61.37,66.83,74.12,80.39,83.22,82.81,77.87,68.39,58.28,52.47
48387,44.69,47.44,57.11,62.6,71.22,79.53,83.66,82.94,77.62,65.62,54.5,48.67
48389,46.18,50.93,59.29,66.07,74.84,82.96,85.21,83.29,77.36,66.63,55.54,49.23
48391,56.34,59.66,67.11,71.81,78.61,83.5,85.1,85.78,82.19,73.93,65.04,59.96
48393,38.51,40.11,51.07,57.8,67.16,77.31,82.11,79.83,74.46,60.47,48.98,40.98
48395,49.24,52.21,61.27,66.33,74.24,81.29,84.98,84.98,79.59,69.4,58.61,53.03
48397,46.11,48.77,58.89,64.07,72.42,81.06,85.19,84.76,78.96,67.2,56.34,50.19
48399,46.02,48.61,58.63,64.47,73.2,80.78,84.74,83.87,77.3,66.56,55.43,49.38
48401,47.82,51.13,59.6,64.61,72.77,80.12,83.53,83.31,77.99,67.29,56.84,51.8
48403,49.66,53.68,61.3,65.93,73.76,80.48,83.57,83.26,78.37,68.56,58.24,53.32
48405,49.4,53.36,61.16,65.84,73.63,80.6,83.68,83.3,78.26,68.27,58.16,53.12
48407,51.43,54.88,63.2,67.67,75.34,81.61,84.52,84.41,79.66,69.81,59.97,54.86
48409,56.98,60.23,67.81,72.56,78.99,83.69,85.29,85.94,82.49,74.72,65.72,60.51
48411,48.72,50.78,60.63,65.94,74.01,81.22,85.27,84.77,78.58,68.37,57.61,51.84
48413,46.3,49.41,58.88,65.19,73.51,80.53,83.66,82.8,76.52,66.32,55.73,49.62
48415,44.13,46.76,57.29,63.48,72.63,80.29,84.66,83.51,77.09,65.58,54.1,47.5
48417,45.17,47.33,58,63.83,72.88,80.32,85.13,84.41,78.24,66.51,55.31,48.77
48419,48.27,51.91,60.18,65,73.11,80.26,83.49,83.02,77.86,67.38,57,52.12
48421,37.2,38.66,48.87,55.87,65.11,75.78,80.3,77.72,72.47,58.34,46.94,38.98
48423,47.2,50.11,59.01,64.17,72.48,80.21,83.76,83.7,78.02,67.04,56.31,51.04
48425,47.11,49.88,59.8,65.12,73.41,81.38,85.44,84.92,79.09,67.63,56.89,50.84
48427,59.27,63.68,71.36,76.47,81.92,86.08,87.96,88.41,84.4,77.36,68.08,62.62
48429,44.71,47.48,57.93,63.36,72.54,80.24,85.08,84.39,78.06,66.18,55.07,48.53
48431,44.93,48.3,58.48,64.91,73.58,81.08,84.3,83.53,76.79,66.14,54.81,48.41
48433,44.21,46.48,57.17,63.61,73.22,81.23,85.73,84.71,78.27,65.82,54.48,47.3
48435,47.08,50.53,59.74,66.07,74.12,80.63,83.86,83,77.17,67.27,56.52,50.42
48437,38.52,41.04,50.9,57.29,66.9,76.51,80.41,78.34,72.26,59.43,48.63,41.41
48439,46.96,49.47,59.33,64.86,73.21,81.88,86.19,85.59,79.63,67.89,56.86,50.81
48441,45.18,47.43,57.71,63.58,72.39,79.94,84.12,83.31,76.96,65.9,54.93,48.61
48443,47.96,52.02,61.32,68.28,76.74,82.82,85.43,84.64,78.83,68.56,57.27,51.39
48445,41.03,44.27,53.97,60.6,70.01,78.67,81.9,79.74,73.77,61.77,50.56,44.01
48447,44.74,46.83,57.59,63.44,72.84,80.69,85.3,84.92,78.28,66.12,54.93,48.2
48449,45.93,48.84,58.14,63.38,71.62,79.8,83.93,83.53,77.83,66.36,55.32,49.84
48451,46.36,49.44,59.19,65.48,74.09,81.6,84.87,84.01,77.31,66.72,55.88,49.69
48453,50.61,53.33,62.7,67.73,75.4,82.34,85.88,85.62,80.32,70.08,59.69,53.83
48455,49.59,53.03,61.5,66.46,74.29,81.28,84.39,84.2,79.07,68.8,58.52,53.3
48457,50.47,54.52,62.23,66.43,74.24,80.62,83.33,83.22,78.62,69.12,59.09,54.26
48459,46.62,49.61,58.58,63.68,71.96,79.7,83.42,83.23,77.51,66.57,55.69,50.54
48461,46.23,50.11,59.79,66.56,75.27,82.26,85.02,83.89,77.6,67.66,56.14,49.91
48463,52.04,56.11,64.7,70.01,77.06,83.04,85.9,85.56,80.82,71.44,61.21,55
48465,49.87,53.84,62.96,69.24,77.16,83.29,86.22,85.59,80.23,70.17,59.04,52.98
48467,46.66,49.33,59.23,63.69,72.12,80.22,84.02,84.02,78.27,66.8,56.24,50.58
48469,55.26,58.61,66.51,71.28,78.44,83.74,85.78,86.16,82.03,73.39,64.14,59.06
48471,50.56,53.79,62.44,67.16,74.9,81.49,84.61,84.61,79.46,69.44,59.22,53.98
48473,53.21,56.66,64.86,69.22,76.81,82.73,85.58,85.57,80.97,71.62,61.8,56.86
48475,46.12,50.44,59.86,66.97,76.14,83.98,86.74,84.9,78.72,67.74,55.91,49.39
48477,52.26,55.38,63.93,68.32,76.11,82.19,85.28,85.2,80.4,70.84,60.99,55.94
48479,56.3,60.83,68.73,73.69,80.48,85.59,87.51,87.08,82.79,74.83,64.93,59.43
48481,54.58,57.96,65.84,70.57,77.96,83.26,85.74,85.8,81.48,72.76,63.48,58.58
48483,38.8,40.51,51.76,58.37,67.69,77.33,82.44,80.36,74.79,60.93,49.48,41.6
48485,43.32,45.43,56.21,62.57,71.91,80.92,85.37,84.66,78.13,65.42,53.84,46.52
48487,43.21,45.16,56,62.39,72.09,81.04,85.53,84.63,78.24,65.33,53.5,46.14
48489,60.33,64.13,70.62,75.63,81,84.49,86.18,86.99,83.62,76.92,68.86,63.9
48491,49.78,52.6,61.99,66.93,74.78,81.93,85.7,85.32,80.04,69.57,59.04,53.19
48493,52.99,56.38,65.01,69.77,77.42,83.19,85.91,85.96,81.68,72.11,62.63,56.93
48495,45.12,48.91,58.38,65.53,74.82,82.56,85.63,83.8,77.51,66.54,54.78,48.2
48497,44.99,47.54,57.9,63.34,71.96,80.7,85.26,84.61,78.33,66.31,55.2,48.83
48499,46.79,49.24,58.88,63.57,71.98,79.96,83.7,83.68,77.83,66.76,55.74,50.63
48501,40.53,43.59,53.04,59.66,69.23,78.19,81.06,78.89,72.89,60.98,49.89,43.38
48503,44.47,46.82,57.5,62.94,72.28,80.64,85.19,84.72,77.96,65.98,54.77,48.22
48505,58.49,62.93,70.97,76.12,82.06,86.71,88.51,88.47,84.26,76.88,67.22,61.73
48507,53.51,58.06,66.98,71.89,79.23,84.74,87.49,87,82.46,73.43,62.96,56.62
49001,30.81,32.56,39.87,46.84,54.9,67.64,74.31,72.36,64.04,49.98,38.99,30.5
49003,26.59,30.58,39.78,45.94,55.29,66.8,75.16,72.78,62.97,48.57,36.98,27.24
49005,24.74,27.08,35.28,41.38,50.51,60.97,68.83,66.48,58.04,45.03,34.24,24.81
49007,24.29,27.61,35.61,43.03,51.8,64.12,70.06,67.82,60.29,46.34,34.97,25.21
49009,22.74,24.22,32.08,38.82,47.92,59.43,66.2,63.56,55.7,42.21,31.43,22.6
49011,29.99,32.86,41.16,47.22,56.54,67.97,75.71,73.34,64.73,50.57,39.58,30.29
49013,22.88,25.44,33.28,40.08,48.68,60.1,66.34,64.16,56.66,43.66,32.72,23.56
49015,27.73,32.89,41.91,49.61,58.52,71.06,76.6,74.18,66.17,51.54,39.34,29.01
49017,29.49,32.82,40.04,47.34,55.21,67.51,72.74,70.51,63.16,50.01,39.01,30.06
49019,28.67,33.99,43.02,50.37,59.67,72.21,77.83,75.3,67.27,52.23,40.36,29.86
49021,31.11,33.54,40.06,47.2,54.72,66.88,72.97,70.74,63.19,50.3,39.6,31.32
49023,29.89,33.08,41.54,47.93,56.64,69.29,77.1,74.51,65.27,50.48,38.71,29.69
49025,33.09,36.64,43.72,51.4,58.9,71.38,76.78,74.53,67.07,54.07,42.47,33.47
49027,30.56,33.66,42.3,48.99,57.36,70.2,77.78,75.31,66.1,51.17,39.42,30.31
49029,26.11,28.07,35.87,41.7,50.37,61.11,68.69,66.61,58.73,45.77,35.03,26.18
49031,27.6,28.99,35.3,41.59,49.27,61.03,66.58,64.67,57.58,45.42,35.47,27.42
49033,20.66,22.71,31.08,38.6,47.74,57.94,65.19,62.99,55.22,42.23,31.31,21.61
49035,30.23,33.13,41.04,46.89,55.97,67.68,75.66,72.81,64.3,50.09,39.32,30.31
49037,31.51,35.96,44.33,51.89,60.58,73.06,78.16,75.71,68.22,54.08,41.96,32.1
49039,26.1,28.31,35.87,42.04,50.26,62.04,68.59,66.38,58.89,45.79,35.11,26.28
49041,27.48,29.42,36.06,42.4,50.39,62.63,68.59,66.64,59.21,46.04,36.01,27.79
49043,22.64,23.69,30.5,36.14,44.59,55.12,62.13,60,52.74,40.59,30.64,22.54
49045,29.5,33.64,42.36,48.91,58.13,70.21,78.34,75.49,65.44,50.72,38.73,29.24
49047,22.31,26.77,37.42,45.09,54.54,66.88,72.96,70.54,62.09,47.4,35.4,24.09
49049,27.68,30.54,38.53,44.67,53.36,65.19,72.47,69.93,61.86,48.01,37.17,27.94
