,FIPS,AVG Jan Temp,AVG Feb Temp,AVG Mar Temp,AVG Apr Temp,AVG May Temp,AVG June Temp,AVG July Temp,AVG Aug Temp,AVG Sept Temp,AVG Oct Temp,AVG Nov Temp,AVG Dec Temp,AVG Jan GHI,AVG Feb GHI,AVG Mar GHI,AVG Apr GHI,AVG May GHI,AVG June GHI,AVG July GHI,AVG Aug GHI,AVG Sept GHI,AVG Oct GHI,AVG Nov GHI,AVG Dec GHI,Total Solar Capacity MW-AC
434,13157,44.21,48.9,55.3,60.98,69.4,76.22,80.0,78.53,73.78,64.02,53.36,47.84,115.3526671,145.6417361,189.9501262,237.6451275,268.8944219,282.978398,268.2144293,246.2317305,209.053267,172.3544176,129.2616691,100.5531029,0.0
435,13159,45.86,51.39,57.87,62.6,71.24,78.06,81.66,80.68,75.52,65.62,54.96,50.04,118.4089769,149.1490289,193.5242262,241.6562831,274.0070475,279.9601972,268.3639216,244.5764647,209.062189,176.1457827,133.5480873,104.2323003,0.0
436,13161,50.14,55.74,60.98,66.04,73.36,79.84,82.34,81.91,77.04,68.69,58.61,54.09,126.9371215,157.8558376,204.2368751,251.2106232,283.7931014,279.0807125,270.1272847,244.2434892,211.692958,183.257007,142.9349233,112.4093716,306.5
437,13163,47.63,52.94,58.5,63.78,71.42,77.99,81.39,80.26,75.46,66.33,55.66,51.16,121.8181663,152.7750099,197.717542,246.4318949,277.4153642,283.0183462,269.4873065,246.1675631,211.5793878,177.8348728,135.5016381,107.0975936,0.0
438,13165,49.12,54.37,59.81,64.83,72.32,78.73,81.89,80.99,76.37,67.51,57.1,52.58,123.1717967,154.7884505,198.7352385,248.1299162,277.7126527,282.1964151,269.1168744,244.8920961,211.045376,178.0552662,136.9604676,108.2557536,20.16
439,13167,48.49,53.87,59.32,64.51,72.26,78.58,81.83,80.8,76.03,67.21,56.51,52.08,122.5330914,153.6842499,198.6695599,247.4610452,278.9640588,281.1244037,268.7412305,244.7283801,211.3858859,179.5030557,137.3654889,108.4890109,0.0
440,13169,47.0,52.39,58.67,63.47,71.63,78.43,81.86,80.82,75.88,66.28,55.61,51.14,120.0969642,150.9402904,195.158898,243.7338034,275.9101432,278.8559001,268.4319273,243.9291807,209.5702617,177.4093415,135.0219852,105.1601086,0.0
441,13171,46.16,51.51,57.68,62.52,71.03,77.57,80.73,79.87,74.79,65.21,54.99,50.27,119.1670461,150.6012317,194.831162,242.725969,275.4160483,278.2015893,267.415062,243.260685,208.293741,176.4804524,134.7911361,105.0814457,0.0
442,13173,51.22,56.91,61.94,66.39,73.29,79.36,81.63,81.49,77.06,69.17,59.13,54.97,130.3131274,161.3234962,207.5891544,252.0786582,284.0631795,274.0808877,269.6218612,244.9430098,212.0976244,186.5031608,147.1973428,116.6995089,0.0
443,13175,49.42,54.84,60.1,65.28,72.99,79.28,82.27,81.39,76.52,67.93,57.24,52.89,123.4858337,154.4579936,199.9503581,248.0302136,280.7791709,280.1131553,268.7859301,244.2619857,211.3570295,180.527355,138.6479727,108.9713663,0.0
444,13177,50.03,55.69,61.51,66.09,73.69,79.71,81.93,81.48,77.29,68.97,58.43,54.29,126.5604719,156.7383536,203.0301079,249.5591507,285.9005296,279.7618408,271.0571707,246.3911424,215.2233593,184.6587626,142.9160866,111.2427055,0.0
445,13179,51.64,56.88,61.92,67.13,74.27,80.38,83.18,82.3,78.07,70.04,59.92,55.5,126.5882242,157.3352005,203.4784368,250.6501383,278.238667,272.983062,268.2684775,241.9715647,206.1719972,178.942814,142.4237357,112.0782702,30.0
446,13181,45.89,50.86,56.76,62.72,70.61,77.48,81.2,79.97,74.94,65.24,54.32,49.27,117.2609992,147.4421888,191.5099026,240.7752607,271.5194303,282.7378055,265.9696632,245.264929,209.0605754,174.2260331,130.1770141,103.1354552,0.0
447,13183,51.51,56.9,62.09,67.28,74.19,80.37,83.23,82.34,77.97,69.77,59.77,55.4,127.0812849,157.1808222,203.4904027,249.6802804,278.1671608,272.3087299,267.5177443,242.0514204,206.8051327,179.4091862,142.9645032,112.2237795,0.0
448,13185,51.58,57.34,62.23,66.7,73.36,79.24,81.3,81.13,77.02,69.4,59.53,55.4,131.774383,162.6797834,209.4051289,252.7849213,284.8379841,271.7524841,268.6796558,244.2684261,212.3027903,187.8754345,148.8568079,118.1904876,49.5
449,13187,40.66,45.06,51.56,57.26,65.54,71.91,75.81,74.54,69.68,60.47,49.89,44.82,110.3777522,140.8785052,181.7784285,230.2931333,260.9899292,277.5409254,259.8969395,241.6904393,205.0185427,168.3276735,124.1584753,95.78201443,0.0
450,13189,46.66,51.69,57.47,63.26,70.79,77.53,81.09,79.84,74.99,65.6,54.9,50.1,119.6315185,150.1900679,194.8852833,243.4572359,273.4805663,282.4360523,267.9738725,245.6906671,210.1072704,175.4689491,132.4067855,104.1915097,0.0
451,13191,52.53,57.66,62.52,67.81,74.66,80.61,83.34,82.29,78.58,70.8,61.19,56.58,128.6096979,158.6917029,207.6490117,253.2694633,281.0543104,273.0517691,270.3437776,243.0690575,205.6760358,179.5408407,144.3264737,114.4393191,0.0
452,13193,48.6,53.66,59.72,64.56,72.53,79.02,81.6,81.0,76.32,67.26,56.72,52.31,123.7880569,154.8755923,199.2019261,246.6489641,281.0905517,277.816013,268.442629,244.207846,212.1952162,181.5218143,139.2777182,108.8584137,0.0
453,13195,44.08,48.91,55.23,60.92,69.39,76.37,80.06,78.66,73.73,63.88,53.08,47.72,116.4666661,146.3924273,190.3754067,239.3786905,270.1153245,282.847997,267.0653459,246.8124177,208.8648135,173.1649216,129.9966988,100.0914477,0.0
454,13197,47.89,52.97,59.1,63.76,71.42,77.66,80.31,79.69,75.56,66.16,55.83,51.72,123.1702045,154.3683286,198.6884188,245.8352314,278.1900946,275.2087917,266.5737964,243.9769395,210.3654139,181.186364,139.63731,108.1713722,0.0
455,13199,45.73,51.13,57.09,62.1,70.37,76.9,80.1,79.22,74.26,64.61,54.21,49.59,118.4041641,149.236424,193.1860107,240.8810522,272.634631,277.1229679,266.158686,244.9313247,208.5401527,176.8286115,133.935497,104.3634784,0.0
456,13201,50.71,56.69,62.74,66.71,74.06,80.09,81.9,81.62,77.79,69.77,59.41,55.01,130.1263558,160.0611162,208.233331,254.3328282,289.0713298,279.5405725,269.4255079,249.7675883,218.4045877,187.9005671,147.3174493,115.9278189,0.0
457,13205,50.43,56.29,62.08,66.26,73.8,79.61,81.43,81.17,77.04,69.34,59.09,54.74,129.9017863,159.9671486,206.8859848,254.4221126,288.5591481,277.9028251,270.5544584,249.1155214,217.1812481,187.5660369,147.0623737,115.2314341,244.9
458,13207,46.56,51.88,58.17,62.96,71.31,78.08,81.34,80.46,75.41,65.74,55.3,50.61,119.5543594,150.4158199,194.634468,242.6535567,275.3796619,277.1262662,267.53504,242.4852881,208.3115612,176.7396848,134.8650217,105.4325353,0.0
459,13209,50.0,55.39,60.58,65.97,73.34,79.67,82.42,81.8,76.94,68.5,58.1,53.59,125.1205864,155.7177449,201.2577511,249.1295017,280.5351763,279.5820786,268.7573869,243.9740914,211.265768,181.3594546,140.0979919,110.0643794,0.0
460,13211,45.34,50.72,57.22,62.33,70.91,77.7,81.46,80.09,75.09,65.11,54.49,49.32,117.5587746,148.2111687,192.9415336,240.8805597,271.7535532,280.9657498,267.7196582,244.9797837,209.3262258,175.1398152,132.210315,103.2682364,0.0
461,13213,41.01,45.81,52.74,59.06,67.97,74.52,78.39,76.99,72.27,62.23,50.74,45.38,104.7278894,132.2927275,178.0452413,229.7204395,261.6910129,276.314662,260.8574558,245.9377973,208.02293,167.7789867,121.158817,90.26316873,5.5
462,13215,47.47,52.91,58.94,63.56,71.6,78.02,80.99,80.19,75.99,66.3,55.57,51.23,120.6553385,151.8521619,196.2523189,243.6023612,276.0870438,276.0928411,265.4240351,243.8331218,210.3797536,180.1310043,137.4781809,106.4706898,0.0
463,13217,45.02,50.43,56.76,61.84,70.66,77.41,81.01,80.03,74.76,64.86,54.26,49.08,116.8229209,147.6067755,192.0993739,240.1555724,270.9257466,279.9266996,266.2713928,245.1850919,208.4526887,174.9338587,131.8655607,102.7556201,0.0
464,13219,44.93,49.94,56.34,61.88,70.31,77.08,80.79,79.27,74.41,64.62,53.97,48.56,116.8429773,146.9907542,191.6534576,239.8430144,269.8509343,281.2704026,265.9277901,244.5527996,208.7124134,174.0834209,130.9705321,102.1314621,0.0
465,13221,44.73,49.81,56.09,61.78,70.07,76.93,80.73,79.32,74.39,64.41,53.6,48.32,117.297597,146.9186177,191.4709521,240.1035353,269.5820958,280.9072096,264.8347286,244.4710652,207.9159195,173.9409232,131.0975728,101.1431697,0.0
466,13223,43.33,48.39,55.13,60.78,69.36,75.82,79.29,78.3,73.4,63.41,52.32,47.4,112.5650945,140.8145167,185.1879484,235.5246221,266.5794142,277.7981736,262.9407915,246.9838814,208.551585,172.4461583,127.3605649,97.71175135,0.0
467,13225,48.08,53.12,59.12,64.12,72.12,78.83,81.62,80.79,76.03,66.92,56.34,51.87,123.1751614,154.3223934,199.1733456,246.9211979,280.4406649,278.2403768,268.9248886,244.6760623,211.8199793,180.8701884,138.2566535,108.0043192,0.0
468,13227,40.88,45.5,52.23,58.14,66.48,72.92,76.69,75.49,70.77,61.47,50.57,45.24,108.7126345,137.7206177,182.6003501,231.8722068,263.8536429,278.8641436,262.8566293,248.0775068,209.8188302,170.5391937,125.1261954,94.42149724,0.0
469,13229,51.66,57.23,62.56,67.54,74.14,80.37,83.21,82.4,78.21,69.68,60.17,56.13,129.5383057,160.0797574,206.9817526,251.2795654,282.1516541,273.0692664,268.7866516,243.2296115,208.6257748,183.1465186,145.844697,115.1177866,0.0
470,13231,46.04,51.4,57.46,62.39,70.88,77.31,80.46,79.59,74.5,64.89,54.7,50.07,118.588889,149.9188591,194.125684,241.785334,274.4214181,278.5444758,267.4421656,244.821487,208.9416544,176.4844513,134.372108,104.6736347,0.0
471,13233,43.39,48.56,55.28,61.18,69.7,76.32,79.52,78.68,73.82,63.63,52.09,47.52,111.833112,139.2698033,184.8567606,235.7983285,266.0419045,276.0827676,262.0307208,246.1313483,207.7364453,171.9264267,126.997885,96.15419704,0.0
472,13235,49.59,54.69,60.43,65.17,73.26,79.7,82.37,81.69,76.99,68.27,57.7,53.27,125.1479986,156.0732506,202.3113308,249.700531,284.2918251,281.7655785,272.0022682,247.1300701,212.8259583,182.5822838,140.2575649,109.9840118,0.0
473,13237,46.2,51.81,58.18,63.07,71.37,78.16,81.89,80.71,75.64,65.82,55.08,50.38,118.783828,149.4242689,194.4859647,242.2649016,274.4538184,281.3564679,269.2721473,244.8548782,209.7742473,176.6654657,133.790852,103.8545108,0.0
474,13239,48.94,54.62,60.77,64.93,72.42,78.68,81.22,80.66,77.16,67.91,56.98,52.53,123.5258134,155.5465865,201.2167671,246.6034844,280.4631944,277.2015325,267.1425351,247.4617649,212.8695485,182.6255028,141.6188244,108.7483725,0.0
475,13241,39.78,44.58,50.54,56.78,64.72,71.11,74.64,73.13,68.49,59.06,48.86,43.93,113.1578085,144.0966445,183.9069361,231.2352918,258.8719146,274.6534832,256.8811578,238.7539166,205.2973064,168.9431558,124.9059585,98.00984088,0.0
476,13243,49.32,54.88,61.12,65.31,72.52,78.78,81.0,80.57,77.11,68.23,57.51,53.26,125.5226463,156.9926941,202.8551697,248.5445782,282.7559101,276.8415415,267.3767639,246.3064207,213.8032506,183.9660267,142.9683711,110.7870678,0.0
477,13245,48.11,53.4,59.03,64.63,72.4,79.01,82.3,81.13,76.31,67.01,56.22,51.51,120.2144043,151.6018867,195.851284,244.4421598,272.8225051,280.0981809,266.0254522,243.2405789,210.6199106,175.516248,133.5538996,105.4932233,30.0
